at,dvc,DD,E,NegE,AC,current_ratio,debt_to_equity,roe,asset_turnover,tic,cik,fyear,mrk_eq,E_1,csho,sentiment
267.11,0,0,16.098,0,-34.311,2.896013034,0.525645419,0.077724469,1.593781588,ADUS,1468328,2017,431631600,24.274,11.632,Negative
355.388,0,0,24.274,0,-3.246,3.016129032,0.289820094,0.063524151,1.457896721,ADUS,1468328,2018,669367000,33.289,13.126,Negative
0.844,0,0,-1.119,1,-0.427,0.162556294,-1.135364876,0.17947073,11.13507109,IMCI,884650,2010,3592680,-0.274,0.352827108,Negative
1.144,0,0,-0.274,1,2.67,0.468168038,-1.354728682,-0.00620155,8.01048951,IMCI,884650,2011,2513890,-0.209,0.346160433,Negative
0.706,0,0,-0.209,1,0.259,0.434270765,-1.246078773,-0.094457999,12.35977337,IMCI,884650,2012,5841450,0.109,0.346160433,Negative
0.927,0,0,0.109,0,-0.062,0.403061224,-1.347842402,-0.040900563,9.399137001,IMCI,884650,2013,4413540,-0.498,0.346160433,Negative
0.617,0,0,-0.498,1,-0.125,0.284823285,-1.205666667,0.166,13.88654781,IMCI,884650,2014,1038480,-0.811,0.354160443,Negative
0.377,0,0,-0.811,1,-0.637,0.079864472,-1.100346021,0.215863721,21.07692308,IMCI,884650,2015,2653543.8,-0.325,0.354160443,Negative
0.442,0,0,-0.325,1,0.138,0.109818182,-1.110693714,0.081392437,16.77149321,IMCI,884650,2016,581240,-0.645,0.387493818,Negative
0.582,0,0,-0.645,1,-0.359,0.172713178,-1.144095073,0.018568953,10.9742268,IMCI,884650,2017,1046232,-0.046,0.387493818,Negative
0.334,0,0,-0.046,1,0.153,0.109546703,-1.0835,-0.00925,19.07185629,IMCI,884650,2018,589240,0.048,0.387493818,NoSentiment
2133.026,49.82,1,260.799,0,61.181,1.160379776,1.065774704,0.240052104,0.78245366,RDY,1135951,2010,5210256500,281.274,169.17,NoSentiment
2347.75,43.545,1,281.274,0,-70.052,1.609572142,1.079885683,0.248276913,0.806280907,RDY,1135951,2011,5812515290,307.961,169.477,NoSentiment
2611.317,49.78,1,307.961,0,52.808,1.597770865,0.947459288,0.229491887,0.811609238,RDY,1135951,2012,5030403840,351.666,169.753,NoSentiment
2837.05,49.75,1,351.666,0,-73.185,1.919002275,0.874681997,0.236946509,0.77163462,RDY,1135951,2013,6420474480,355.946,170.026,NoSentiment
3125.694,57.567,1,355.946,0,-56.519,1.872615726,0.749851925,0.19926864,0.756615651,RDY,1135951,2014,7344432050,371.97,170.381,NoSentiment
3134.34,61.977,1,371.97,0,-306.015,1.85143612,0.618018664,0.155942218,0.740987257,RDY,1135951,2015,9427745040,185.613,170.608,NoSentiment
3389.684,52.274,1,185.613,0,-130.443,1.180882677,0.772121563,0.097054397,0.636290285,RDY,1135951,2016,8736764200,156.075,165.742,NoSentiment
3464.967,61.312,1,156.075,0,-125.914,1.573279595,0.783994559,0.077542461,0.628778283,RDY,1135951,2017,6985505660,265.172,165.911,NoSentiment
3253.694,57.763,1,265.172,0,-211.905,1.917940344,0.607930502,0.134061335,0.682487044,RDY,1135951,2018,5342366400,398.831,165.848,NoSentiment
277.586,0,0,18.548,0,-2.703,3.011848889,1.175336583,0.1587778,1.596517836,LCUT,874396,2010,175673920,15.922,12.065,Negative
318.745,0.913,1,15.922,0,7.074,2.841499671,1.180571233,0.096227125,1.39427442,LCUT,874396,2011,141666580,23.684,12.431,Negative
